id,name,score
27,Aaron,77
72,Adam,92
52,Alex,89
1,Alice,90
97,Ann,82
28,Bella,92
98,Ben,91
53,Beth,64
2,Bob,85
73,Bree,65
99,Cara,68
74,Carl,81
29,Carlos,68
3,Charlie,95
54,Cole,82
30,Daisy,83
100,Dan,85
75,Deb,74
4,Diana,78
55,Dora,91
5,Edward,82
56,Erik,75
31,Ethan,71
76,Evan,97
57,Faith,98
6,Fiona,67
32,Flora,97
77,Gail,58
33,Gary,66
7,George,91
58,Glen,68
78,Hank,83
8,Hannah,76
59,Hazel,85
34,Helen,81
60,Ian,72
35,Ingrid,74
79,Iris,70
9,Ivan,88
80,Jack,91
36,James,90
61,Joan,93
10,Julia,73
37,Kate,55
11,Kevin,80
81,Kim,76
62,Kirk,66
83,Kurt,100
82,Lars,88
12,Laura,93
64,Leo,79
38,Liam,85
84,Mark,67
65,Maya,88
39,Mia,62
14,Nancy,87
66,Neil,73
85,Nina,94
40,Noah,94
41,Olivia,69
67,Opal,96
15,Oscar,72
86,Otis,71
87,Pam,85
68,Paul,61
16,Paula,96
42,Peter,88
63,Petra,100
17,Quinn,61
43,Rachel,76
88,Rex,62
69,Rita,84
18,Robert,84
44,Samuel,99
19,Sarah,79
70,Stan,77
89,Sue,99
20,Thomas,70
45,Tina,73
90,Tom,78
46,Ulysses,87
21,Uma,89
91,Ursula,87
92,Val,73
22,Victor,75
47,Violet,60
93,Wade,96
48,Walter,84
23,Wendy,98
24,Xander,63
94,Xena,64
49,Xenia,71
50,Yale,95
71,Yolanda,54
95,Yuri,75
25,Yvonne,86
96,Zack,75
26,Zara,100
51,Zoe,78
